epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1139.02,1.088,0.61777,0.93173,0.89903,0.81366,0.88682,0.62819,1.02438,0.57524,0.88528,0.0005075,0.0005075,0.0005075
43,1157.84,1.0856,0.62084,0.9333,0.90782,0.80964,0.88581,0.63742,0.97401,0.57074,0.87766,0.000489821,0.000489821,0.000489821
44,1177.16,1.07719,0.6121,0.93157,0.90352,0.8187,0.88707,0.6328,1.02129,0.57962,0.8828,0.000472143,0.000472143,0.000472143
45,1196.01,1.07995,0.61547,0.9319,0.9102,0.81558,0.89105,0.63603,1.03417,0.57248,0.88504,0.000454464,0.000454464,0.000454464
46,1214.96,1.08847,0.61501,0.93301,0.89741,0.80629,0.88145,0.62171,1.06447,0.58088,0.88694,0.000436786,0.000436786,0.000436786
47,1233.9,1.07974,0.61125,0.93009,0.8987,0.81392,0.88693,0.63233,1.03836,0.58064,0.88479,0.000419107,0.000419107,0.000419107
48,1252.81,1.06904,0.60254,0.92779,0.89383,0.8187,0.88472,0.63734,1.01951,0.57718,0.88078,0.000401429,0.000401429,0.000401429
49,1271.78,1.07101,0.60673,0.92988,0.89595,0.82317,0.88895,0.63766,1.00884,0.56905,0.88032,0.00038375,0.00038375,0.00038375
50,1290.94,1.06602,0.60071,0.92609,0.88652,0.81009,0.88008,0.6373,0.99815,0.5746,0.87844,0.000366071,0.000366071,0.000366071
51,1310.03,1.06667,0.59964,0.92707,0.89339,0.81931,0.88719,0.64152,0.9782,0.55921,0.87811,0.000348393,0.000348393,0.000348393
52,1329.08,1.05521,0.59378,0.92425,0.89571,0.82696,0.88906,0.63957,1.02187,0.56993,0.88225,0.000330714,0.000330714,0.000330714
53,1347.96,1.05262,0.59135,0.92223,0.9048,0.82749,0.89293,0.64581,1.01202,0.56283,0.88052,0.000313036,0.000313036,0.000313036
54,1367.18,1.04782,0.58893,0.92102,0.91342,0.82145,0.89245,0.64537,0.99738,0.55654,0.87817,0.000295357,0.000295357,0.000295357
55,1385.89,1.0546,0.59067,0.92327,0.9057,0.81818,0.88979,0.63996,1.00998,0.56015,0.8783,0.000277679,0.000277679,0.000277679
56,1404.79,1.05244,0.58924,0.92263,0.90209,0.82642,0.89143,0.64762,0.98036,0.55566,0.87587,0.00026,0.00026,0.00026
57,1423.64,1.04823,0.58446,0.92349,0.89895,0.82794,0.89236,0.64637,0.99407,0.55824,0.87788,0.000242321,0.000242321,0.000242321
58,1442.33,1.03948,0.58025,0.92104,0.89537,0.83176,0.89458,0.65269,0.9764,0.55172,0.87703,0.000224643,0.000224643,0.000224643
59,1461.37,1.04845,0.5844,0.92155,0.89528,0.83106,0.893,0.64902,0.97191,0.5491,0.87563,0.000206964,0.000206964,0.000206964
60,1480.33,1.04329,0.58248,0.92193,0.90022,0.82675,0.89322,0.65198,0.96705,0.54844,0.87546,0.000189286,0.000189286,0.000189286
61,1500.66,0.92519,0.49936,0.89129,0.89507,0.82497,0.89097,0.64765,0.97694,0.55294,0.87507,0.000171607,0.000171607,0.000171607
62,1518.42,0.91718,0.48769,0.88973,0.89316,0.82521,0.89449,0.65555,0.95985,0.54668,0.87351,0.000153929,0.000153929,0.000153929
63,1535.96,0.91355,0.48405,0.88594,0.90253,0.82372,0.89343,0.65467,0.96012,0.54496,0.8714,0.00013625,0.00013625,0.00013625
64,1553.54,0.907,0.48092,0.88559,0.89228,0.82435,0.89047,0.65115,0.97176,0.55055,0.87389,0.000118571,0.000118571,0.000118571
65,1571.66,0.90686,0.48178,0.88621,0.90482,0.82214,0.89272,0.64731,0.98625,0.55038,0.87467,0.000100893,0.000100893,0.000100893
66,1589.2,0.89924,0.47633,0.88351,0.90074,0.82644,0.8942,0.65807,0.95162,0.5417,0.87146,8.32143e-05,8.32143e-05,8.32143e-05
67,1606.75,0.89731,0.47503,0.88219,0.8999,0.82877,0.89292,0.65229,0.97199,0.54727,0.87389,6.55357e-05,6.55357e-05,6.55357e-05
68,1624.34,0.89276,0.4724,0.88079,0.89634,0.83118,0.89314,0.65479,0.95861,0.54309,0.87242,4.78571e-05,4.78571e-05,4.78571e-05
69,1641.92,0.89314,0.47179,0.88204,0.89883,0.82784,0.89296,0.65707,0.94752,0.53965,0.87085,3.01786e-05,3.01786e-05,3.01786e-05
70,1659.49,0.88782,0.46994,0.88042,0.89757,0.82761,0.89362,0.65527,0.95312,0.53962,0.87144,1.25e-05,1.25e-05,1.25e-05
