epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1756.48,1.33566,0.63378,0.0026,0.85673,0.80334,0.86648,0.63534,1.20482,0.65842,0.00235,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1809.69,1.31691,0.6263,0.00259,0.86845,0.79763,0.87327,0.63389,1.26511,0.67042,0.00238,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1862.9,1.32036,0.62849,0.00256,0.87126,0.80457,0.88108,0.64526,1.18949,0.65309,0.00224,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1916.2,1.3215,0.62603,0.00254,0.89787,0.79845,0.8831,0.64492,1.20471,0.64355,0.00232,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1969.21,1.30943,0.61792,0.00257,0.85944,0.79807,0.87092,0.64278,1.21703,0.6579,0.00232,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2022.39,1.31023,0.62176,0.00254,0.88871,0.78356,0.8694,0.63537,1.18253,0.65208,0.00228,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2076.09,1.30619,0.60846,0.00252,0.89157,0.78885,0.87851,0.65439,1.16198,0.63807,0.00222,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2129.62,1.29775,0.60398,0.00248,0.87758,0.80143,0.87905,0.64809,1.19326,0.65015,0.00229,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2183.15,1.30091,0.60841,0.00248,0.89354,0.80329,0.87971,0.64745,1.2065,0.651,0.00232,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2236.64,1.29339,0.60287,0.00247,0.88346,0.80302,0.88099,0.64439,1.2074,0.63484,0.00232,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2290.44,1.29945,0.60473,0.00246,0.89,0.78928,0.87589,0.64685,1.17719,0.64057,0.00225,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2343.73,1.28837,0.59944,0.00247,0.88269,0.80326,0.8797,0.65297,1.17321,0.6323,0.00225,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2397.33,1.28097,0.59389,0.00244,0.87569,0.79979,0.87394,0.64878,1.19949,0.64116,0.00228,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2450.64,1.27303,0.58699,0.00245,0.88127,0.81349,0.88543,0.6573,1.17167,0.62884,0.00224,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2503.95,1.27671,0.59163,0.00242,0.86987,0.81001,0.8825,0.66069,1.15533,0.61898,0.0022,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2557.34,1.27533,0.58871,0.00244,0.8693,0.80733,0.87294,0.65153,1.16464,0.63817,0.00221,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2610.95,1.26968,0.58393,0.00239,0.88381,0.81809,0.8793,0.65462,1.1621,0.62277,0.0022,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2664.12,1.26057,0.5805,0.00242,0.87984,0.79977,0.86946,0.64722,1.16041,0.65189,0.00223,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2717.6,1.25915,0.58025,0.00239,0.89767,0.80222,0.87941,0.65256,1.18544,0.63093,0.00225,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2770.87,1.25077,0.57446,0.00237,0.89552,0.79915,0.88503,0.65985,1.16294,0.6299,0.00221,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2824.15,1.25548,0.57832,0.00235,0.88496,0.80799,0.88054,0.65727,1.14904,0.63079,0.0022,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2877.66,1.2512,0.57251,0.00235,0.87384,0.80876,0.87653,0.65874,1.15619,0.62319,0.00218,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2930.87,1.24297,0.57168,0.00236,0.87947,0.80036,0.87508,0.65595,1.14687,0.64481,0.00216,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2984.21,1.24155,0.56665,0.00232,0.88308,0.80836,0.88041,0.66374,1.14498,0.61937,0.00215,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3037.3,1.23174,0.55949,0.00234,0.87465,0.81562,0.87394,0.65704,1.16076,0.62946,0.00221,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3090.88,1.23457,0.56234,0.00234,0.8851,0.81293,0.88405,0.66036,1.15544,0.62536,0.00219,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3144.13,1.21576,0.55193,0.00229,0.88899,0.79686,0.87774,0.66163,1.1527,0.62896,0.00218,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3197.33,1.22608,0.56348,0.00231,0.88868,0.80913,0.87578,0.66169,1.14512,0.62706,0.00216,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3250.42,1.22644,0.56058,0.00231,0.88894,0.81129,0.88051,0.66289,1.141,0.63075,0.00215,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3303.54,1.21865,0.5551,0.0023,0.89579,0.80385,0.88402,0.66638,1.14483,0.63198,0.00216,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3356.7,1.21505,0.55623,0.00229,0.88299,0.80627,0.87268,0.65829,1.13955,0.62983,0.00214,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
