epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,2089.94,1.31901,0.77346,0.00274,0.87483,0.8078,0.89417,0.64233,1.13873,0.65786,0.00246,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,2157.23,1.32439,0.77859,0.00274,0.86969,0.80045,0.89111,0.64015,1.13532,0.67201,0.00247,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,2224.44,1.3219,0.77853,0.00277,0.86894,0.82252,0.89726,0.64701,1.13981,0.65952,0.00248,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,2291.98,1.31361,0.76004,0.00274,0.8703,0.81031,0.89444,0.64427,1.13269,0.66289,0.00245,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,2359.71,1.31062,0.75846,0.00272,0.87739,0.81109,0.89708,0.64443,1.12984,0.64921,0.00243,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,2427.14,1.30995,0.76751,0.00277,0.8754,0.82072,0.89746,0.65023,1.12095,0.65146,0.00241,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,2494.5,1.3039,0.76244,0.0027,0.88144,0.81832,0.90249,0.65652,1.11215,0.63648,0.00238,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,2561.51,1.30106,0.75483,0.00269,0.87831,0.81209,0.8977,0.65568,1.1024,0.65071,0.00234,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,2628.89,1.29854,0.75298,0.00268,0.88566,0.81701,0.90205,0.65849,1.11382,0.63779,0.00239,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2696.02,1.29645,0.74793,0.00268,0.88633,0.82338,0.90192,0.6555,1.11686,0.63803,0.00241,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2763.2,1.29942,0.74924,0.00267,0.87882,0.82006,0.90025,0.65464,1.10426,0.64047,0.00235,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2830.71,1.29124,0.74022,0.00264,0.89368,0.82033,0.90706,0.66427,1.10254,0.61504,0.00235,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2898.03,1.28857,0.7332,0.00265,0.8751,0.832,0.90369,0.65511,1.09691,0.64305,0.00234,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2965.66,1.29053,0.74171,0.00265,0.88514,0.81792,0.90294,0.65814,1.1017,0.62733,0.00235,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,3032.97,1.28471,0.73747,0.00265,0.88029,0.81167,0.89897,0.64943,1.11817,0.63591,0.00238,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,3100.48,1.28323,0.73187,0.00262,0.88359,0.82057,0.90152,0.6609,1.0955,0.62936,0.00234,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,3167.64,1.28015,0.72302,0.00263,0.8847,0.81751,0.90098,0.65955,1.10175,0.63195,0.00234,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,3235.02,1.28117,0.72836,0.00261,0.88894,0.83179,0.90636,0.65997,1.09052,0.62471,0.00233,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,3302.25,1.27588,0.72199,0.00264,0.87946,0.82492,0.90224,0.65734,1.09254,0.63008,0.00234,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,3369.46,1.27781,0.7297,0.00261,0.88811,0.83357,0.90517,0.66378,1.08441,0.61666,0.0023,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,3437.28,1.26923,0.71508,0.0026,0.88869,0.82362,0.90489,0.66853,1.08572,0.60943,0.00228,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3504.92,1.27369,0.71994,0.00258,0.88658,0.82469,0.90647,0.66922,1.08277,0.60649,0.0023,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,3571.87,1.26482,0.70585,0.00257,0.89173,0.80623,0.90333,0.66825,1.08262,0.60531,0.00229,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,3639.14,1.26376,0.70229,0.00259,0.87656,0.82875,0.90585,0.66473,1.08255,0.62272,0.0023,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,3706.42,1.26599,0.71008,0.00256,0.88201,0.82408,0.90442,0.66614,1.08179,0.61044,0.00231,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,3773.46,1.25668,0.70398,0.00259,0.89149,0.82315,0.90544,0.66871,1.07926,0.61222,0.0023,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,3841.26,1.25857,0.70383,0.00258,0.8808,0.8302,0.90503,0.67091,1.07775,0.60523,0.00226,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,3908.06,1.25751,0.69985,0.00256,0.8891,0.82211,0.9067,0.67287,1.07752,0.60307,0.00229,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,3975.59,1.26082,0.70328,0.00256,0.89371,0.82291,0.90667,0.67253,1.08088,0.60766,0.00229,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,4042.51,1.25929,0.69865,0.00257,0.89783,0.82179,0.9063,0.67333,1.07654,0.59883,0.00227,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,4109.29,1.25028,0.68757,0.00255,0.87719,0.83961,0.90588,0.67547,1.06992,0.60485,0.00225,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,4176.41,1.25072,0.69754,0.00255,0.8999,0.81571,0.90861,0.67268,1.07092,0.60119,0.00224,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,4243.54,1.24401,0.68914,0.00253,0.89122,0.83321,0.9115,0.67791,1.06673,0.5977,0.00223,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,4310.99,1.24793,0.68945,0.0025,0.8968,0.83784,0.91405,0.67901,1.06747,0.59441,0.00223,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,4378.43,1.24874,0.6956,0.00252,0.88588,0.83343,0.90929,0.67651,1.06494,0.59825,0.00223,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,4445.45,1.24312,0.6889,0.0025,0.89466,0.82854,0.91123,0.67674,1.06834,0.59636,0.00223,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,4513.11,1.24642,0.68729,0.00251,0.8888,0.83666,0.91178,0.68033,1.06817,0.59399,0.00224,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,4580.73,1.24165,0.68548,0.00249,0.88945,0.82508,0.90899,0.6763,1.06635,0.59705,0.00225,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
