epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
19,1203.87,1.2607,0.58771,0.00243,0.87192,0.80703,0.88019,0.65216,1.18095,0.64488,0.00226,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1266.74,1.27651,0.60123,0.00243,0.87724,0.81012,0.87296,0.64475,1.1896,0.62782,0.00229,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1328.66,1.26838,0.59358,0.00245,0.89273,0.80813,0.88297,0.65273,1.17619,0.62928,0.00224,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1391.33,1.26608,0.59396,0.00244,0.89662,0.79683,0.87284,0.63944,1.18142,0.66233,0.00227,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
1,85.254,1.32025,0.59808,0.00245,0.9011,0.80319,0.88516,0.65672,1.16456,0.6338,0.00223,0.00991667,0.00330556,0.00991667,0.00330556,0.0768611,0.07025,0.00991667,0.00330556
2,161.323,1.24992,0.57457,0.00235,0.88353,0.81993,0.88968,0.65887,1.17646,0.62266,0.00222,0.0197195,0.00657316,0.0197195,0.00657316,0.0533306,0.0401843,0.0197195,0.00657316
3,223.014,1.22911,0.56677,0.00231,0.87922,0.81038,0.87943,0.64909,1.19341,0.64075,0.0023,0.0293243,0.00977477,0.0293243,0.00977477,0.0296021,0.0100526,0.0293243,0.00977477
4,284.608,1.22704,0.56713,0.00237,0.88321,0.79599,0.86739,0.63231,1.21129,0.65203,0.00235,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,345.308,1.24162,0.57928,0.00241,0.86891,0.79233,0.86673,0.63226,1.2248,0.66803,0.00236,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,406.307,1.25365,0.57968,0.00241,0.86352,0.79978,0.86405,0.63269,1.22768,0.6717,0.00239,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
1,84.2739,1.29022,0.59409,0.00245,0.89733,0.80848,0.88222,0.64481,1.22785,0.64483,0.00229,0.00991667,0.00330556,0.00991667,0.00330556,0.0768611,0.07025,0.00991667,0.00330556
2,158.743,1.24713,0.57346,0.00238,0.88576,0.818,0.88506,0.64995,1.20771,0.6408,0.00231,0.0197195,0.00657316,0.0197195,0.00657316,0.0533306,0.0401843,0.0197195,0.00657316
3,220.616,1.22975,0.56473,0.00234,0.87918,0.79288,0.86612,0.63501,1.21592,0.68091,0.00236,0.0293243,0.00977477,0.0293243,0.00977477,0.0296021,0.0100526,0.0293243,0.00977477
4,282.542,1.25236,0.57575,0.00239,0.86313,0.80325,0.8707,0.63666,1.19757,0.6559,0.00229,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,344.058,1.23219,0.56097,0.00236,0.85362,0.79596,0.8569,0.6317,1.20601,0.69104,0.00233,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,405.517,1.23895,0.56619,0.00236,0.88727,0.79261,0.85593,0.63122,1.19839,0.68054,0.0023,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,469.565,1.25647,0.58867,0.00243,0.87085,0.80611,0.86547,0.63994,1.19472,0.64221,0.0023,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,530.982,1.25119,0.58097,0.0024,0.87812,0.79733,0.87154,0.64428,1.19265,0.67058,0.00232,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,592.376,1.25119,0.58113,0.00242,0.87672,0.80737,0.87333,0.64543,1.20883,0.66523,0.00231,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,654.065,1.2515,0.58505,0.00243,0.88877,0.80184,0.87783,0.65025,1.18715,0.64974,0.00231,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,716.394,1.25406,0.58423,0.00239,0.88444,0.7843,0.87818,0.64844,1.17427,0.66558,0.00226,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,780.01,1.25285,0.58106,0.00241,0.8739,0.7975,0.86953,0.6422,1.18938,0.66683,0.00232,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,841.763,1.24419,0.57738,0.00236,0.87877,0.78863,0.87512,0.64608,1.20122,0.65154,0.00229,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,903.478,1.24994,0.57821,0.00237,0.87268,0.80361,0.8772,0.64932,1.195,0.64542,0.0023,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,965.219,1.25519,0.58387,0.00239,0.8806,0.79323,0.86429,0.63731,1.21211,0.66746,0.00232,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1027.92,1.25597,0.57629,0.00234,0.87058,0.80151,0.87167,0.63899,1.20156,0.67051,0.00232,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1091.92,1.2352,0.57456,0.00238,0.86729,0.80085,0.85971,0.63736,1.19353,0.66729,0.00228,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1153.28,1.23873,0.5714,0.00235,0.8998,0.80306,0.87149,0.64987,1.172,0.6608,0.00224,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1215.03,1.23196,0.56688,0.00236,0.88648,0.80174,0.87728,0.64574,1.2014,0.64856,0.0023,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1277.29,1.25194,0.58066,0.00237,0.88648,0.80978,0.87572,0.63785,1.20841,0.65297,0.00233,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1339.18,1.24229,0.57491,0.00237,0.87343,0.80281,0.8749,0.65047,1.17925,0.66683,0.00224,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1404.82,1.24451,0.57313,0.00236,0.87911,0.80086,0.87035,0.64813,1.17258,0.66804,0.00223,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1466.79,1.23876,0.57184,0.00236,0.88213,0.80322,0.86879,0.6398,1.16881,0.64499,0.00222,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1529.05,1.25008,0.5858,0.00237,0.88413,0.80124,0.87469,0.64931,1.16313,0.64643,0.00221,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1591.21,1.23578,0.57007,0.00238,0.88213,0.78868,0.86535,0.64479,1.18086,0.65906,0.00223,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1653.25,1.23083,0.5627,0.00236,0.88503,0.80767,0.88077,0.65733,1.16742,0.62307,0.00222,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1715.89,1.23145,0.55901,0.00235,0.87919,0.81375,0.87395,0.6547,1.16483,0.63465,0.00221,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1778.03,1.23356,0.56602,0.00233,0.88165,0.79149,0.86966,0.65043,1.17893,0.66221,0.00225,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1839.77,1.23463,0.56766,0.00237,0.88109,0.79962,0.87032,0.65767,1.16453,0.65114,0.00221,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
